impact_full_name,impact,impact_unit,global_normalisation_factor,min_cc,max_cc,source,comment_cc,comment_global nf
Climate change,GWP_100,kg CO2-eq,5.21E+13,6.81E+12,8.72E+12,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""","""As proposed by Sala et al. (2020), the uncertainty upper limit is 128% of the min SOS as in the original Planetary boundaries framework (Rockstrom et al., 2009)""","""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
Ozone depletion,ODP,kg CFC-11-eq,3.61E+08,5.39E+08,1.08E+09,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
Particulate matter,PM,"Disease incidence",4.11E+06,5.16E+05,1.03E+06,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
Ionising radiation,IR,kBq U-235-eq,2.91E+13,5.27E+14,1.05E+15,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
Photochemical ozone formation,POF,kg NMVOC-eq,2.82E+11,4.07E+11,8.13E+11,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
Acidification,AC,mol H+ eq,3.83E+11,1.00E+12,2.00E+12,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
"Eutrophication terrestrial",TEU,mol N-eq,1.22E+12,6.11E+12,1.22E+13,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
"Eutrophication freshwater",FEU,kg P-eq,1.11E+10,5.81E+09,1.16E+10,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
"Eutrophication marine",MEU,kg N-eq,1.35E+11,2.01E+11,4.01E+11,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
"Ecotoxicity freshwater",ECOTOX,CTUe,3.91E+14,1.31E+14,2.63E+14,"""Sanye-Mengual, E., & Sala, S. (2023). Consumption footprint and domestic footprint: Assessing the environmental impacts of EU consumption and production?: life cycle assessment to support the European Green Deal. European Commission. Joint Research Centre. https://doi.org/10.2760/218540; Sala, S., Crenna, E., Secchi, M., & Sanye-Mengual, E. (2020). Environmental sustainability of European production and consumption assessed against planetary boundaries. Journal of Environmental Management, 269, 110686. https://doi.org/10.1016/j.jenvman.2020.110686;  Andreasi, B. S., Biganzoli, F., Ferrara, N., Amadei, A., Valente, A., Sala, S., & Ardente, F. (2023). Updated characterisation and normalisation factors for the Environmental Footprint 3.1 method. JRC Publications Repository. https://doi.org/10.2760/798894""",,"""Global normalization factors are for the year 2010 (Andreasi et al., 2023)"""
